pid,start_time,end_time,epoch_start,epoch_end,complete_title,media_type,masterbrand,service,brand_pid,is_clip,categories,tags
p00547jm,1003394820,1003999620,2001-10-18T08:47:00,2001-10-25T08:47:00,in_our_time:_democracy,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[democracy.history.philosophy.plato.ancient_greece]
p0065n4c,1009482420,1010087220,2001-12-27T19:47:00,2002-01-03T19:47:00,front_row:_27/12/2001,audio,bbc_radio_four,bbc_radio_four,b006qsq5,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media],[writer]
p0054880,1013075220,1013680020,2002-02-07T09:47:00,2002-02-14T09:47:00,in_our_time:_the_universes_shape,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[physics.astronomy.big_bang.history_of_science.distance_measures_(cosmology)]
p005492h,1067507220,1068112020,2003-10-30T09:47:00,2003-11-06T09:47:00,in_our_time:_robin_hood,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[middle_ages.history]
p0054950,1071740820,1072345620,2003-12-18T09:47:00,2003-12-25T09:47:00,in_our_time:_the_alphabet,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[history.mesopotamia.ancient_egypt]
p004y25j,1086252420,1086857220,2004-06-03T08:47:00,2004-06-10T08:47:00,in_our_time:_babylon,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[history.mesopotamia]
p005bc5v,1100166420,1100771220,2004-11-11T09:47:00,2004-11-18T09:47:00,in_our_time:_zoroastrianism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[british_museum.religion.mesopotamia]
p004y2b7,1100771220,1101376020,2004-11-18T09:47:00,2004-11-25T09:47:00,in_our_time:_higgs_boson,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[physics.20th_century.history_of_science.large_hadron_collider.cern.higgs_boson]
p004y2bm,1103190420,1103795220,2004-12-16T09:47:00,2004-12-23T09:47:00,in_our_time:_the_second_law_of_thermodynamics,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[20th_century.19th_century.big_bang.history_of_science]
p004y2bt,1103795220,1104400020,2004-12-23T09:47:00,2004-12-30T09:47:00,in_our_time:_faust,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.18th_century.16th_century.literature]
p003k9bg,1108633620,1109238420,2005-02-17T09:47:00,2005-02-24T09:47:00,in_our_time:_the_cambrian_period,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[evolution.geology.prehistory.history_of_science.cambrian.cambrian_explosion]
p003k9bn,1109238420,1109843220,2005-02-24T09:47:00,2005-03-03T09:47:00,in_our_time:_alchemy,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history.9200059:2:science_and_nature],[middle_ages.17th_century.medicine.europe.history_of_science]
p003k9gf,1111657620,1112262420,2005-03-24T09:47:00,2005-03-31T09:47:00,in_our_time:_angels,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.religion.christianity.god.bible]
p003k9gm,1112863620,1113468420,2005-04-07T08:47:00,2005-04-14T08:47:00,in_our_time:_alfred_and_the_battle_of_edington,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[middle_ages.history.great_britain]
p005xksl,1113058920,1113663720,2005-04-09T15:02:00,2005-04-16T15:02:00,world_routes:_gypsy_musicians_of_transylvania,audio,bbc_radio_three,bbc_radio_three,b006tnmp,0,[9100006:1:music.9200072:2:world],[music_of_transylvania.music_of_romania]
p003k9c1,1114073220,1114678020,2005-04-21T08:47:00,2005-04-28T08:47:00,in_our_time:_the_aeneid,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.cultural_history.poetry]
p003k9c7,1115282820,1115887620,2005-05-05T08:47:00,2005-05-12T08:47:00,in_our_time:_abelard_and_heloise,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.religion.love.middle_ages.christianity.france.philosophy.literature]
p003k9hf,1116492420,1117097220,2005-05-19T08:47:00,2005-05-26T08:47:00,in_our_time:_beauty,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ethics.philosophy.plato]
p005xzj9,1118617320,1119222120,2005-06-12T23:02:00,2005-06-19T23:02:00,andy_kershaw:_iran_-_axis_of_evil,audio,bbc_radio_three,bbc_radio_three,b006tnwy,0,[9100006:1:music.9200072:2:world],[record_producer.iran.music_of_iran]
p003k9ct,1118911620,1119516420,2005-06-16T08:47:00,2005-06-23T08:47:00,in_our_time:_paganism_in_the_renaissance,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history.9100008:1:religion_and_ethics],[catholicism.religion.christianity.italy.europe.renaissance.visual_arts]
p003k9d6,1120726020,1121330820,2005-07-07T08:47:00,2005-07-14T08:47:00,in_our_time:_marlowe,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.william_shakespeare.16th_century.great_britain.literature]
p003k9jg,1121330820,1121935620,2005-07-14T08:47:00,2005-07-21T08:47:00,in_our_time:_marx,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[victorian_era.philosophy.19th_century.communism.political_philosophy]
p003k9dd,1127983620,1128588420,2005-09-29T08:47:00,2005-10-06T08:47:00,in_our_time:_magnetism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history.9200059:2:science_and_nature],[physics.history_of_science]
p003k9dl,1128588420,1129193220,2005-10-06T08:47:00,2005-10-13T08:47:00,in_our_time:_the_field_of_the_cloth_of_gold,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[france.history.16th_century.great_britain.europe]
p003k9js,1129798020,1130402820,2005-10-20T08:47:00,2005-10-27T08:47:00,in_our_time:_cynicism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history.9200059:2:science_and_nature],[philosophy.ancient_greece]
p003k9ks,1132825620,1133430420,2005-11-24T09:47:00,2005-12-01T09:47:00,in_our_time:_the_graviton,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[physics.20th_century.cosmology.history_of_science]
p003k9fc,1134035220,1134640020,2005-12-08T09:47:00,2005-12-15T09:47:00,in_our_time:_artificial_intelligence,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[20th_century.history_of_science]
p003hycj,1138268820,1138873620,2006-01-26T09:47:00,2006-02-02T09:47:00,in_our_time:_seventeenth_century_print_culture,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.english_civil_war.great_britain]
p003hyfl,1140083220,1140688020,2006-02-16T09:47:00,2006-02-23T09:47:00,in_our_time:_human_evolution,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[evolution.human.genetics.primate.prehistory.homo.brain.history_of_science.homo_(genus)]
p003hydz,1143708420,1144313220,2006-03-30T08:47:00,2006-04-06T08:47:00,in_our_time:_the_carolingian_renaissance,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.middle_ages.christianity.history.europe]
p003c19x,1146127620,1146732420,2006-04-27T08:47:00,2006-05-04T08:47:00,in_our_time:_the_great_exhibition_of_1851,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[technology.victorian_era.history.19th_century.great_britain]
p003c1cx,1147942020,1148546820,2006-05-18T08:47:00,2006-05-25T08:47:00,in_our_time:_mill,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[victorian_era.philosophy.19th_century.great_britain]
p003c1b9,1148546820,1149151620,2006-05-25T08:47:00,2006-06-01T08:47:00,in_our_time:_mathematics_and_music,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.cultural_history.music]
p003c1bw,1150966020,1151570820,2006-06-22T08:47:00,2006-06-29T08:47:00,in_our_time:_the_spanish_inquisition,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.middle_ages.christianity.history.spain.protestant_reformation.europe]
p003c1cn,1151570820,1152175620,2006-06-29T08:47:00,2006-07-06T08:47:00,in_our_time:_galaxies,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[astronomy.outer_space.cosmology.history_of_science.andromeda_galaxy.galaxy]
p0038x9c,1164275220,1164880020,2006-11-23T09:47:00,2006-11-30T09:47:00,in_our_time:_altruism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[evolution.ethics.charles_darwin.victorian_era.philosophy.19th_century.richard_dawkins]
p0038xb6,1166694420,1167299220,2006-12-21T09:47:00,2006-12-28T09:47:00,in_our_time:_hell,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ethics.cultural_history.religion.christianity.20th_century]
b007731w,1169113620,1169718420,2007-01-18T09:47:00,2007-01-25T09:47:00,in_our_time:_the_jesuits,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.christianity.protestant_reformation.16th_century.europe.history_of_science]
b00773y4,1170928020,1171532820,2007-02-08T09:47:00,2007-02-15T09:47:00,in_our_time:_popper,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[philosophy.20th_century.history_of_science.political_philosophy]
b0077474,1171532820,1172137620,2007-02-15T09:47:00,2007-02-22T09:47:00,in_our_time:_heart_of_darkness,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[africa.cultural_history.20th_century.literature]
b007768m,1175762820,1176367620,2007-04-05T08:47:00,2007-04-12T08:47:00,in_our_time:_st_hilda,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[religion.dark_ages.dark_ages_(historiography)]
b00776v8,1176972420,1177577220,2007-04-19T08:47:00,2007-04-26T08:47:00,in_our_time:_symmetry,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.physics.history_of_science]
b0077744,1177577220,1178182020,2007-04-26T08:47:00,2007-05-03T08:47:00,in_our_time:_greek_and_roman_love_poetry,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.cultural_history.love.poetry.literature.ancient_greece]
b0079ps2,1178182020,1178786820,2007-05-03T08:47:00,2007-05-10T08:47:00,in_our_time:_spinoza,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ethics.religion.18th_century.philosophy.age_of_enlightenment]
b007d9k6,1178786820,1179391620,2007-05-10T08:47:00,2007-05-17T08:47:00,in_our_time:_victorian_pessimism,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[cultural_history.victorian_era.19th_century.literature]
b007zckq,1190548920,1191153720,2007-09-23T12:02:00,2007-09-30T12:02:00,groucho_was_my_father:_episode_3,audio,bbc_radio_four_extra,bbc_7,,0,[9100005:1:factual],[]
b008g2x5,1197539220,1198144020,2007-12-13T09:47:00,2007-12-20T09:47:00,in_our_time:_the_sassanid_empire,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[ancient_rome.history.middle_east]
b008h5dz,1198144020,1198748820,2007-12-20T09:47:00,2007-12-27T09:47:00,in_our_time:_the_four_humours,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[middle_ages.medicine.history_of_science]
b008kmqp,1199353620,1199958420,2008-01-03T09:47:00,2008-01-10T09:47:00,in_our_time:_camus,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[africa.france.philosophy.20th_century.communism.literature]
b008xh3x,1202982420,1203587220,2008-02-14T09:47:00,2008-02-21T09:47:00,in_our_time:_the_statue_of_liberty,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[new_york_city.france.history.19th_century]
b0092j0x,1204796820,1205401620,2008-03-06T09:47:00,2008-03-13T09:47:00,in_our_time:_lovelace,audio,bbc_radio_four,bbc_radio_four,b006qykl,0,[9100005:1:factual.9200041:2:arts_culture_and_the_media.9200055:2:history],[mathematics.victorian_era.19th_century.great_britain.history_of_science]
b007m6x9,1206201720,1206806520,2008-03-22T16:02:00,2008-03-29T16:02:00,world_routes:_in_cuba:_santiago_de_cuba_and_son_music,audio,bbc_radio_three,bbc_radio_three,b006tnmp,0,[9100006:1:music.9200072:2:world],[cuba.music_of_cuba.son_(music)]
