FIPS,Admin2,Province State,Country Region,Last Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined Key,Incidence Rate,Case-Fatality Ratio
45001,Abbeville,South Carolina,US,11/06/2020 03:33,34.22333378,-82.46170658,60,0,0,60,"Abbeville, South Carolina, US",244.6283687,0
22001,Acadia,Louisiana,US,11/06/2020 03:33,30.2950649,-92.41419698,520,29,0,491,"Acadia, Louisiana, US",838.101378,5.576923077
51001,Accomack,Virginia,US,11/06/2020 03:33,37.76707161,-75.63234615,984,13,0,971,"Accomack, Virginia, US",3044.931303,1.321138211
16001,Ada,Idaho,US,11/06/2020 03:33,43.4526575,-116.2415516,854,22,0,832,"Ada, Idaho, US",177.3303681,2.576112412
19001,Adair,Iowa,US,11/06/2020 03:33,41.33075609,-94.47105874,10,0,0,10,"Adair, Iowa, US",139.8210291,0
21001,Adair,Kentucky,US,11/06/2020 03:33,37.10459774,-85.28129668,101,19,0,82,"Adair, Kentucky, US",525.9868764,18.81188119
29001,Adair,Missouri,US,11/06/2020 03:33,40.19058551,-92.60078167,74,0,0,74,"Adair, Missouri, US",291.9938445,0
40001,Adair,Oklahoma,US,11/06/2020 03:33,35.88494195,-94.65859267,95,4,0,91,"Adair, Oklahoma, US",428.0436154,4.210526316
8001,Adams,Colorado,US,11/06/2020 03:33,39.87432092,-104.3362578,3643,143,0,3500,"Adams, Colorado, US",704.0688337,3.925336261
16003,Adams,Idaho,US,11/06/2020 03:33,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",69.86492781,0
17001,Adams,Illinois,US,11/06/2020 03:33,39.98815591,-91.18786813,45,1,0,44,"Adams, Illinois, US",68.77053565,2.222222222
18001,Adams,Indiana,US,11/06/2020 03:33,40.7457653,-84.93671406,24,1,0,23,"Adams, Indiana, US",67.08220365,4.166666667
19003,Adams,Iowa,US,11/06/2020 03:33,41.02903567,-94.69932645,7,0,0,7,"Adams, Iowa, US",194.3364797,0
28001,Adams,Mississippi,US,11/06/2020 03:33,31.47669768,-91.35326037,222,17,0,205,"Adams, Mississippi, US",723.2919558,7.657657658
31001,Adams,Nebraska,US,11/06/2020 03:33,40.5244942,-98.50117804,277,11,0,266,"Adams, Nebraska, US",883.2063259,3.971119134
39001,Adams,Ohio,US,11/06/2020 03:33,38.84541072,-83.4718964,12,1,0,11,"Adams, Ohio, US",43.32442776,8.333333333
42001,Adams,Pennsylvania,US,11/06/2020 03:33,39.87140411,-77.21610347,278,9,0,269,"Adams, Pennsylvania, US",269.8793309,3.237410072
53001,Adams,Washington,US,11/06/2020 03:33,46.98299757,-118.5601734,80,0,0,80,"Adams, Washington, US",400.3402892,0
55001,Adams,Wisconsin,US,11/06/2020 03:33,43.96974651,-89.76782777,6,1,0,5,"Adams, Wisconsin, US",29.6735905,16.66666667
50001,Addison,Vermont,US,11/06/2020 03:33,44.03217337,-73.14130877,66,2,0,64,"Addison, Vermont, US",179.4599886,3.03030303
45003,Aiken,South Carolina,US,11/06/2020 03:33,33.54338026,-81.63645384,216,8,0,208,"Aiken, South Carolina, US",126.4104125,3.703703704
27001,Aitkin,Minnesota,US,11/06/2020 03:33,46.60962049,-93.4116826,13,0,0,13,"Aitkin, Minnesota, US",81.83306056,0
12001,Alachua,Florida,US,11/06/2020 03:33,29.67866525,-82.35928158,412,8,0,404,"Alachua, Florida, US",153.1353724,1.941747573
37001,Alamance,North Carolina,US,11/06/2020 03:33,36.0434701,-79.39976137,574,30,0,544,"Alamance, North Carolina, US",338.6250878,5.226480836
6001,Alameda,California,US,11/06/2020 03:33,37.64629437,-121.8929271,4033,105,0,3928,"Alameda, California, US",241.3049735,2.603520952
8003,Alamosa,Colorado,US,11/06/2020 03:33,37.57250606,-105.7885451,107,2,0,105,"Alamosa, Colorado, US",659.1511119,1.869158879
36001,Albany,New York,US,11/06/2020 03:33,42.60060306,-73.97723916,1986,115,0,1871,"Albany, New York, US",650.0690657,5.790533736
56001,Albany,Wyoming,US,11/06/2020 03:33,41.65498705,-105.7235415,26,0,0,26,"Albany, Wyoming, US",66.87242798,0
51003,Albemarle,Virginia,US,11/06/2020 03:33,38.02080697,-78.55481085,260,8,0,252,"Albemarle, Virginia, US",237.8121284,3.076923077
26001,Alcona,Michigan,US,11/06/2020 03:33,44.6846864,-83.59507875,20,1,0,19,"Alcona, Michigan, US",192.2152811,5
28003,Alcorn,Mississippi,US,11/06/2020 03:33,34.88084463,-88.57996173,26,1,0,25,"Alcorn, Mississippi, US",70.35964604,3.846153846
17003,Alexander,Illinois,US,11/06/2020 03:33,37.18049267,-89.32910838,16,0,0,16,"Alexander, Illinois, US",277.7295608,0
37003,Alexander,North Carolina,US,11/06/2020 03:33,35.9223796,-81.17751948,43,0,0,43,"Alexander, North Carolina, US",114.6758407,0
51510,Alexandria,Virginia,US,11/06/2020 03:33,38.814003,-77.08183073,2125,47,0,2078,"Alexandria, Virginia, US",1332.890082,2.211764706
40003,Alfalfa,Oklahoma,US,11/06/2020 03:33,36.73090616,-98.32408495,1,0,0,1,"Alfalfa, Oklahoma, US",17.53770607,0
26003,Alger,Michigan,US,11/06/2020 03:33,46.41292944,-86.60260122,1,0,0,1,"Alger, Michigan, US",10.97935881,0
19005,Allamakee,Iowa,US,11/06/2020 03:33,43.28383218,-91.37860922,121,4,0,117,"Allamakee, Iowa, US",884.0505589,3.305785124
26005,Allegan,Michigan,US,11/06/2020 03:33,42.59147037,-85.89102866,274,6,0,268,"Allegan, Michigan, US",232.0441053,2.189781022
24001,Allegany,Maryland,US,11/06/2020 03:33,39.62357628,-78.69280486,185,17,0,168,"Allegany, Maryland, US",262.7243808,9.189189189
36003,Allegany,New York,US,11/06/2020 03:33,42.25748406,-78.02750466,52,0,0,52,"Allegany, New York, US",112.8202903,0
37005,Alleghany,North Carolina,US,11/06/2020 03:33,36.49360862,-81.12857041,30,0,0,30,"Alleghany, North Carolina, US",269.3723624,0
51005,Alleghany,Virginia,US,11/06/2020 03:33,37.78636074,-80.00222498,26,2,0,24,"Alleghany, Virginia, US",174.9663526,7.692307692
42003,Allegheny,Pennsylvania,US,11/06/2020 03:33,40.46809875,-79.98167747,2034,170,0,1864,"Allegheny, Pennsylvania, US",167.263547,8.357915438
18003,Allen,Indiana,US,11/06/2020 03:33,41.09194313,-85.06800636,2014,77,0,1937,"Allen, Indiana, US",530.9795175,3.823237339
20001,Allen,Kansas,US,11/06/2020 03:33,37.88582951,-95.30030847,1,0,0,1,"Allen, Kansas, US",8.084727949,0
21003,Allen,Kentucky,US,11/06/2020 03:33,36.75197631,-86.19457544,120,3,0,117,"Allen, Kentucky, US",562.9838142,2.5
22003,Allen,Louisiana,US,11/06/2020 03:33,30.65385745,-92.82442028,189,10,0,179,"Allen, Louisiana, US",737.5034144,5.291005291
39003,Allen,Ohio,US,11/06/2020 03:33,40.77285242,-84.10802343,229,34,0,195,"Allen, Ohio, US",223.7398755,14.84716157
45005,Allendale,South Carolina,US,11/06/2020 03:33,32.98837386,-81.35321066,39,3,0,36,"Allendale, South Carolina, US",448.8950276,7.692307692
26007,Alpena,Michigan,US,11/06/2020 03:33,45.03477666,-83.62212411,112,9,0,103,"Alpena, Michigan, US",394.2967787,8.035714286
6003,Alpine,California,US,11/06/2020 03:33,38.59678594,-119.8223594,2,0,0,2,"Alpine, California, US",177.1479185,0
6005,Amador,California,US,11/06/2020 03:33,38.44583082,-120.65696,10,0,0,10,"Amador, California, US",25.155967,0
51007,Amelia,Virginia,US,11/06/2020 03:33,37.34081025,-77.98584649,34,1,0,33,"Amelia, Virginia, US",258.6534804,2.941176471
51009,Amherst,Virginia,US,11/06/2020 03:33,37.60308293,-79.14548696,27,0,0,27,"Amherst, Virginia, US",85.42952065,0
28005,Amite,Mississippi,US,11/06/2020 03:33,31.17467303,-90.80501621,67,2,0,65,"Amite, Mississippi, US",544.848337,2.985074627
2020,Anchorage,Alaska,US,11/06/2020 03:33,61.14998174,-149.1426986,297,5,0,292,"Anchorage, Alaska, US",103.125,1.683501684
20003,Anderson,Kansas,US,11/06/2020 03:33,38.21413251,-95.29272815,1,0,0,1,"Anderson, Kansas, US",12.72588445,0
21005,Anderson,Kentucky,US,11/06/2020 03:33,38.00671029,-84.99171713,25,1,0,24,"Anderson, Kentucky, US",109.9046028,4
45007,Anderson,South Carolina,US,11/06/2020 03:33,34.51828081,-82.63959517,287,9,0,278,"Anderson, South Carolina, US",141.6878129,3.135888502
47001,Anderson,Tennessee,US,11/06/2020 03:33,36.12684348,-84.19965764,54,2,0,52,"Anderson, Tennessee, US",70.14991296,3.703703704
